节点code,节点类型,节点名称,证券代码,生效时间,失效时间
1164566,公司,金乡县华光食品进出口有限公司,,2026-07-28,
1164649,公司,山西紫林调味食品股份有限公司,,2026-07-28,
1164825,公司,海南翔泰渔业股份有限公司,,2026-07-28,
1164850,公司,浙江天子股份有限公司,,2026-07-28,
1164855,公司,河北美客多食品集团股份有限公司,,2026-07-28,
1164865,公司,舟山水产品中心批发市场有限责任公司,,2026-07-28,
1164902,公司,黄山王光熙松萝茶业股份公司,,2026-07-28,
1164904,公司,和田昆仑山枣业股份有限公司,,2026-07-28,
1164905,公司,金菜地食品股份有限公司,,2026-07-28,
1164917,公司,齐齐哈尔瑞盛食品制造有限公司,,2026-07-28,
1164942,公司,湖北裕国菇业股份有限公司,,2026-07-28,
1164944,公司,福建省闽中有机食品有限公司,,2026-07-28,
1164984,公司,湖南金霞粮食产业有限公司,,2026-07-28,
1164990,公司,吉香居食品有限公司,,2026-07-28,
1165087,公司,大连林家铺子食品股份有限公司,,2026-07-28,
1165141,公司,白象食品股份有限公司,,2026-07-28,
1165145,公司,宁夏塞尚金河科技有限公司,,2026-07-28,
1165147,公司,早康枸杞股份有限公司,,2026-07-28,
1165282,公司,道道全粮油股份有限公司,,2026-07-28,
1165327,公司,江西省百乐米业股份有限公司,,2026-07-28,
1178678,公司,昆明七彩云南实业股份有限公司,,2026-07-28,
1179956,公司,利和味道(青岛)食品产业股份有限公司,,2026-07-28,
1182506,公司,厦门康达尔圆香食品有限公司,,2026-07-28,
1184363,公司,翠华控股有限公司,,2026-07-28,
1195716,公司,南达新农业股份有限公司,,2026-07-28,
1196025,公司,上海合印科技股份有限公司,,2026-07-28,
1200138,公司,广东省盐业集团有限公司,,2026-07-28,
1214709,公司,河南华丽纸业包装股份有限公司,,2026-07-28,
1231812,公司,香港科技探索有限公司,,2026-07-28,
1238944,公司,北京二商肉类食品集团有限公司,,2026-07-28,
1246095,公司,重庆四平塑料包装股份有限公司,,2026-07-28,
1248842,公司,重庆瑞丰包装股份有限公司,,2026-07-28,
1249494,公司,四川好彩头实业股份有限公司,,2026-07-28,
1249915,公司,河南神州康达科技发展股份有限公司,,2026-07-28,
1249928,公司,四川九里春酒业集团股份有限公司,,2026-07-28,
1249962,公司,黑龙江鹿源春鹿业股份有限公司,,2026-07-28,
1250037,公司,河南伊赛牛肉股份有限公司,,2026-07-28,
1250185,公司,大连九羊乳业股份有限公司,,2026-07-28,
1250433,公司,吉林万家福食品股份有限公司,,2026-07-28,
1252251,公司,迈安德集团有限公司,,2026-07-28,
1253129,公司,泛湾物流股份有限公司,,2026-07-28,
1253649,公司,齐齐哈尔安泰生物工程有限公司,,2026-07-28,
1253707,公司,上海元祖梦果子股份有限公司,,2026-07-28,
1256006,公司,安徽宣酒集团股份有限公司,,2026-07-28,
1257137,公司,河南中鹤纯净粉业有限公司,,2026-07-28,
1263351,公司,北京华联回龙观购物中心有限公司,,2026-07-28,
1263451,公司,内蒙古阜丰生物科技有限公司,,2026-07-28,
1267452,公司,山东绿润食品有限公司,,2026-07-28,
1268080,公司,莒南县鸿润食品有限公司,,2026-07-28,
1269699,公司,天津安达物流股份有限公司,,2026-07-28,
1271353,公司,广东新粤物流实业有限公司,,2026-07-28,
1272761,公司,多美滋婴幼儿食品有限公司,,2026-07-28,
1281797,公司,广东颐丰智慧农业股份有限公司,,2026-07-28,
1284471,公司,东莞铭丰包装股份有限公司,,2026-07-28,
1284943,公司,上海宝珠餐饮有限公司,,2026-07-28,
1285476,公司,广西建工集团智慧制造有限公司,,2026-07-28,
1286603,公司,西藏徒河食品股份有限公司,,2026-07-28,
1288524,公司,山东大地肉牛清真食品股份有限公司,,2026-07-28,
1293247,公司,深圳市万通顺达科技股份有限公司,,2026-07-28,
1293820,公司,香草香草(北京)科技股份有限公司,,2026-07-28,
1299128,公司,中国供销集团南通供销产业发展有限公司,,2026-07-28,
1300326,公司,上海易果电子商务有限公司,,2026-07-28,
1300857,公司,四川华冠食品有限公司,,2026-07-28,
130138962,公司,广东百利食品股份有限公司,,2026-07-28,
1301991,公司,新疆百富餐饮股份有限公司,,2026-07-28,
1302112,公司,重庆风平集团股份有限公司,,2026-07-28,
1302726,公司,宁波喜悦智行科技股份有限公司,,2026-07-28,
1303008,公司,厦门乐麦网络技术股份有限公司,,2026-07-28,
1317406,公司,连云港市天缘食品有限公司,,2026-07-28,
1317805,公司,海南佳德信食品有限公司,,2026-07-28,
1322030,公司,福建文鑫莲业有限责任公司,,2026-07-28,
1324486,公司,山东国新食品有限公司,,2026-07-28,
1326290,公司,湖南友谊阿波罗控股股份有限公司,,2026-07-28,
1326435,公司,浙江银泰百货有限公司,,2026-07-28,
1327211,公司,维维乳业有限公司,,2026-07-28,
1328513,公司,陕西恒通果汁集团股份有限公司,,2026-07-28,
1329612,公司,合肥华联瑞安购物广场商业运营有限公司,,2026-07-28,
1330990,公司,合肥华力食品有限公司,,2026-07-28,
1331118,公司,净雅食品股份有限公司,,2026-07-28,
1331143,公司,新疆梅花氨基酸有限责任公司,,2026-07-28,
1333788,公司,山东万国太阳食品包装材料有限公司,,2026-07-28,
1333934,公司,西安环球印务股份有限公司,,2026-07-28,
1334207,公司,欧浦智网股份有限公司,,2026-07-28,
1334573,公司,内蒙古塞飞亚农业科技发展股份有限公司,,2026-07-28,
1334751,公司,华凯易佰科技股份有限公司,,2026-07-28,
1335314,公司,熊猫乳品集团股份有限公司,,2026-07-28,
1335618,公司,河南金丹乳酸科技股份有限公司,,2026-07-28,
1344748,公司,福建东吾洋食品股份有限公司,,2026-07-28,
1345775,公司,草原兴发食品科技(北京)股份有限公司,,2026-07-28,
1346776,公司,湖北任森农业科技发展股份有限公司,,2026-07-28,
1350806,公司,远东买卖宝网络科技有限公司,,2026-07-28,
1352054,公司,千禾味业食品股份有限公司,,2026-07-28,
1352060,公司,山东惠发食品股份有限公司,,2026-07-28,
1355380,公司,广州天惠食品股份有限公司,,2026-07-28,
1355666,公司,上海顺风餐饮集团股份有限公司,,2026-07-28,
1356152,公司,湖北黄商集团股份有限公司,,2026-07-28,
1356252,公司,滨州中裕食品有限公司,,2026-07-28,
1356696,公司,广州立达尔生物科技股份有限公司,,2026-07-28,
1357160,公司,北京秋实农业股份有限公司,,2026-07-28,
1357601,公司,四川自贡百味斋食品股份有限公司,,2026-07-28,
1357602,公司,德御坊食品股份有限公司,,2026-07-28,
1359846,公司,河南众品食业股份有限公司,,2026-07-28,
1360251,公司,南京龙潭物流基地开发有限公司,,2026-07-28,
1364185,公司,紫燕食品集团股份有限公司,,2026-07-28,
1367131,公司,现代牧业(集团)有限公司,,2026-07-28,
1370403,公司,浙江益纸淀粉科技股份有限公司,,2026-07-28,
1372375,公司,苏州华源控股股份有限公司,,2026-07-28,
1377873,公司,河南众品食品有限公司,,2026-07-28,
145530801,公司,IFBH Limited,,2026-07-28,
153718556,公司,成都太和坊食品股份有限公司,,2026-07-28,
160617359,公司,江苏新天地食品股份有限公司,,2026-07-28,
1676161,公司,中海海洋科技股份有限公司,,2026-07-28,
1677459,公司,驰骋控股集团股份有限公司,,2026-07-28,
1677803,公司,三只松鼠股份有限公司,,2026-07-28,
1682620,公司,东莞港务集团有限公司,,2026-07-28,
1689780,公司,广西洋浦南华糖业集团股份有限公司,,2026-07-28,
