indunamesw,level,indunamesw1,indunamesw2,indunamesw3,indunamesw_path,raw_leaf_names,raw_paths,occurrence_count
专业服务,2,社会服务,专业服务,,社会服务 > 专业服务,专业服务,社会服务 > 专业服务 > 专业服务,11
人力资源服务,3,社会服务,专业服务,人力资源服务,社会服务 > 专业服务 > 人力资源服务,人力资源服务,社会服务 > 专业服务 > 人力资源服务,31
会展服务,3,社会服务,专业服务,会展服务,社会服务 > 专业服务 > 会展服务,会展服务,社会服务 > 专业服务 > 会展服务,15
其他专业服务,3,社会服务,专业服务,其他专业服务,社会服务 > 专业服务 > 其他专业服务,其他专业服务,社会服务 > 专业服务 > 其他专业服务,211
检测服务,3,社会服务,专业服务,检测服务,社会服务 > 专业服务 > 检测服务,检测服务,社会服务 > 专业服务 > 检测服务,50
体育,2,社会服务,体育,,社会服务 > 体育,体育Ⅲ,社会服务 > 体育Ⅱ > 体育Ⅲ,29
教育,2,社会服务,教育,,社会服务 > 教育,教育,社会服务 > 教育 > 教育,6
培训教育,3,社会服务,教育,培训教育,社会服务 > 教育 > 培训教育,培训教育,社会服务 > 教育 > 培训教育,142
学历教育,3,社会服务,教育,学历教育,社会服务 > 教育 > 学历教育,学历教育,社会服务 > 教育 > 学历教育,30
教育运营及其他,3,社会服务,教育,教育运营及其他,社会服务 > 教育 > 教育运营及其他,教育运营及其他,社会服务 > 教育 > 教育运营及其他,32
旅游及景区,2,社会服务,旅游及景区,,社会服务 > 旅游及景区,旅游及景区,社会服务 > 旅游及景区 > 旅游及景区,1
人工景区,3,社会服务,旅游及景区,人工景区,社会服务 > 旅游及景区 > 人工景区,人工景区,社会服务 > 旅游及景区 > 人工景区,17
博彩,3,社会服务,旅游及景区,博彩,社会服务 > 旅游及景区 > 博彩,博彩,社会服务 > 旅游及景区 > 博彩,14
旅游综合,3,社会服务,旅游及景区,旅游综合,社会服务 > 旅游及景区 > 旅游综合,旅游综合,社会服务 > 旅游及景区 > 旅游综合,383
自然景区,3,社会服务,旅游及景区,自然景区,社会服务 > 旅游及景区 > 自然景区,自然景区,社会服务 > 旅游及景区 > 自然景区,18
本地生活服务,2,社会服务,本地生活服务,,社会服务 > 本地生活服务,本地生活服务Ⅲ,社会服务 > 本地生活服务Ⅱ > 本地生活服务Ⅲ,10
酒店,3,社会服务,酒店餐饮,酒店,社会服务 > 酒店餐饮 > 酒店,酒店,社会服务 > 酒店餐饮 > 酒店,109
餐饮,3,社会服务,酒店餐饮,餐饮,社会服务 > 酒店餐饮 > 餐饮,餐饮,社会服务 > 酒店餐饮 > 餐饮,103
纺织服饰,1,纺织服饰,,,纺织服饰,纺织服饰,纺织服饰 > 纺织服饰 > 纺织服饰,8
服装家纺,2,纺织服饰,服装家纺,,纺织服饰 > 服装家纺,服装家纺,纺织服饰 > 服装家纺 > 服装家纺,103
家纺,3,纺织服饰,服装家纺,家纺,纺织服饰 > 服装家纺 > 家纺,家纺,纺织服饰 > 服装家纺 > 家纺,59
运动服装,3,纺织服饰,服装家纺,运动服装,纺织服饰 > 服装家纺 > 运动服装,运动服装,纺织服饰 > 服装家纺 > 运动服装,15
非运动服装,3,纺织服饰,服装家纺,非运动服装,纺织服饰 > 服装家纺 > 非运动服装,非运动服装,纺织服饰 > 服装家纺 > 非运动服装,90
鞋帽及其他,3,纺织服饰,服装家纺,鞋帽及其他,纺织服饰 > 服装家纺 > 鞋帽及其他,鞋帽及其他,纺织服饰 > 服装家纺 > 鞋帽及其他,59
纺织制造,2,纺织服饰,纺织制造,,纺织服饰 > 纺织制造,纺织制造,纺织服饰 > 纺织制造 > 纺织制造,46
其他纺织,3,纺织服饰,纺织制造,其他纺织,纺织服饰 > 纺织制造 > 其他纺织,其他纺织,纺织服饰 > 纺织制造 > 其他纺织,107
印染,3,纺织服饰,纺织制造,印染,纺织服饰 > 纺织制造 > 印染,印染,纺织服饰 > 纺织制造 > 印染,18
棉纺,3,纺织服饰,纺织制造,棉纺,纺织服饰 > 纺织制造 > 棉纺,棉纺,纺织服饰 > 纺织制造 > 棉纺,39
纺织鞋类制造,3,纺织服饰,纺织制造,纺织鞋类制造,纺织服饰 > 纺织制造 > 纺织鞋类制造,纺织鞋类制造,纺织服饰 > 纺织制造 > 纺织鞋类制造,5
辅料,3,纺织服饰,纺织制造,辅料,纺织服饰 > 纺织制造 > 辅料,辅料,纺织服饰 > 纺织制造 > 辅料,6
其他饰品,3,纺织服饰,饰品,其他饰品,纺织服饰 > 饰品 > 其他饰品,其他饰品,纺织服饰 > 饰品 > 其他饰品,14
多品类奢侈品,3,纺织服饰,饰品,多品类奢侈品,纺织服饰 > 饰品 > 多品类奢侈品,多品类奢侈品,纺织服饰 > 饰品 > 多品类奢侈品,4
钟表珠宝,3,纺织服饰,饰品,钟表珠宝,纺织服饰 > 饰品 > 钟表珠宝,钟表珠宝,纺织服饰 > 饰品 > 钟表珠宝,87
综合,1,综合,,,综合,综合|综合Ⅱ|综合Ⅲ,综合 > 综合 > 综合|综合 > 综合Ⅱ > 综合Ⅱ|综合 > 综合Ⅱ > 综合Ⅲ,2617
洗护用品,3,美容护理,个护用品,洗护用品,美容护理 > 个护用品 > 洗护用品,洗护用品,美容护理 > 个护用品 > 洗护用品,32
生活用纸,3,美容护理,个护用品,生活用纸,美容护理 > 个护用品 > 生活用纸,生活用纸,美容护理 > 个护用品 > 生活用纸,25
化妆品制造及其他,3,美容护理,化妆品,化妆品制造及其他,美容护理 > 化妆品 > 化妆品制造及其他,化妆品制造及其他,美容护理 > 化妆品 > 化妆品制造及其他,40
品牌化妆品,3,美容护理,化妆品,品牌化妆品,美容护理 > 化妆品 > 品牌化妆品,品牌化妆品,美容护理 > 化妆品 > 品牌化妆品,16
医美服务,3,美容护理,医疗美容,医美服务,美容护理 > 医疗美容 > 医美服务,医美服务,美容护理 > 医疗美容 > 医美服务,11
医美耗材,3,美容护理,医疗美容,医美耗材,美容护理 > 医疗美容 > 医美耗材,医美耗材,美容护理 > 医疗美容 > 医美耗材,4
计算机,1,计算机,,,计算机,计算机,计算机 > 计算机 > 计算机,14
IT服务,2,计算机,IT服务,,计算机 > IT服务,IT服务Ⅱ|IT服务Ⅲ,计算机 > IT服务Ⅱ > IT服务Ⅱ|计算机 > IT服务Ⅱ > IT服务Ⅲ,2087
计算机设备,2,计算机,计算机设备,,计算机 > 计算机设备,计算机设备,计算机 > 计算机设备 > 计算机设备,2
其他计算机设备,3,计算机,计算机设备,其他计算机设备,计算机 > 计算机设备 > 其他计算机设备,其他计算机设备,计算机 > 计算机设备 > 其他计算机设备,393
安防设备,3,计算机,计算机设备,安防设备,计算机 > 计算机设备 > 安防设备,安防设备,计算机 > 计算机设备 > 安防设备,40
软件开发,2,计算机,软件开发,,计算机 > 软件开发,软件开发,计算机 > 软件开发 > 软件开发,1191
垂直应用软件,3,计算机,软件开发,垂直应用软件,计算机 > 软件开发 > 垂直应用软件,垂直应用软件,计算机 > 软件开发 > 垂直应用软件,219
横向通用软件,3,计算机,软件开发,横向通用软件,计算机 > 软件开发 > 横向通用软件,横向通用软件,计算机 > 软件开发 > 横向通用软件,77
轻工制造,1,轻工制造,,,轻工制造,轻工制造,轻工制造 > 轻工制造 > 轻工制造,5
包装印刷,2,轻工制造,包装印刷,,轻工制造 > 包装印刷,包装印刷,轻工制造 > 包装印刷 > 包装印刷,5
印刷,3,轻工制造,包装印刷,印刷,轻工制造 > 包装印刷 > 印刷,印刷,轻工制造 > 包装印刷 > 印刷,106
塑料包装,3,轻工制造,包装印刷,塑料包装,轻工制造 > 包装印刷 > 塑料包装,塑料包装,轻工制造 > 包装印刷 > 塑料包装,15
纸包装,3,轻工制造,包装印刷,纸包装,轻工制造 > 包装印刷 > 纸包装,纸包装,轻工制造 > 包装印刷 > 纸包装,72
综合包装,3,轻工制造,包装印刷,综合包装,轻工制造 > 包装印刷 > 综合包装,综合包装,轻工制造 > 包装印刷 > 综合包装,59
金属包装,3,轻工制造,包装印刷,金属包装,轻工制造 > 包装印刷 > 金属包装,金属包装,轻工制造 > 包装印刷 > 金属包装,14
家居用品,2,轻工制造,家居用品,,轻工制造 > 家居用品,家居用品,轻工制造 > 家居用品 > 家居用品,6
其他家居用品,3,轻工制造,家居用品,其他家居用品,轻工制造 > 家居用品 > 其他家居用品,其他家居用品,轻工制造 > 家居用品 > 其他家居用品,133
卫浴制品,3,轻工制造,家居用品,卫浴制品,轻工制造 > 家居用品 > 卫浴制品,卫浴制品,轻工制造 > 家居用品 > 卫浴制品,10
定制家居,3,轻工制造,家居用品,定制家居,轻工制造 > 家居用品 > 定制家居,定制家居,轻工制造 > 家居用品 > 定制家居,26
成品家居,3,轻工制造,家居用品,成品家居,轻工制造 > 家居用品 > 成品家居,成品家居,轻工制造 > 家居用品 > 成品家居,103
瓷砖地板,3,轻工制造,家居用品,瓷砖地板,轻工制造 > 家居用品 > 瓷砖地板,瓷砖地板,轻工制造 > 家居用品 > 瓷砖地板,17
文娱用品,2,轻工制造,文娱用品,,轻工制造 > 文娱用品,文娱用品,轻工制造 > 文娱用品 > 文娱用品,87
娱乐用品,3,轻工制造,文娱用品,娱乐用品,轻工制造 > 文娱用品 > 娱乐用品,娱乐用品,轻工制造 > 文娱用品 > 娱乐用品,66
文化用品,3,轻工制造,文娱用品,文化用品,轻工制造 > 文娱用品 > 文化用品,文化用品,轻工制造 > 文娱用品 > 文化用品,8
造纸,2,轻工制造,造纸,,轻工制造 > 造纸,造纸,轻工制造 > 造纸 > 造纸,35
大宗用纸,3,轻工制造,造纸,大宗用纸,轻工制造 > 造纸 > 大宗用纸,大宗用纸,轻工制造 > 造纸 > 大宗用纸,36
特种纸,3,轻工制造,造纸,特种纸,轻工制造 > 造纸 > 特种纸,特种纸,轻工制造 > 造纸 > 特种纸,31
通信,1,通信,,,通信,通信,通信 > 通信 > 通信,3
通信服务,2,通信,通信服务,,通信 > 通信服务,通信服务,通信 > 通信服务 > 通信服务,3
电信运营商,3,通信,通信服务,电信运营商,通信 > 通信服务 > 电信运营商,电信运营商,通信 > 通信服务 > 电信运营商,25
通信工程及服务,3,通信,通信服务,通信工程及服务,通信 > 通信服务 > 通信工程及服务,通信工程及服务,通信 > 通信服务 > 通信工程及服务,142
通信应用增值服务,3,通信,通信服务,通信应用增值服务,通信 > 通信服务 > 通信应用增值服务,通信应用增值服务,通信 > 通信服务 > 通信应用增值服务,63
通信设备,2,通信,通信设备,,通信 > 通信设备,通信设备,通信 > 通信设备 > 通信设备,113
其他通信设备,3,通信,通信设备,其他通信设备,通信 > 通信设备 > 其他通信设备,其他通信设备,通信 > 通信设备 > 其他通信设备,102
通信线缆及配套,3,通信,通信设备,通信线缆及配套,通信 > 通信设备 > 通信线缆及配套,通信线缆及配套,通信 > 通信设备 > 通信线缆及配套,37
通信终端及配件,3,通信,通信设备,通信终端及配件,通信 > 通信设备 > 通信终端及配件,通信终端及配件,通信 > 通信设备 > 通信终端及配件,76
通信网络设备及器件,3,通信,通信设备,通信网络设备及器件,通信 > 通信设备 > 通信网络设备及器件,通信网络设备及器件,通信 > 通信设备 > 通信网络设备及器件,124
钢铁,1,钢铁,,,钢铁,钢铁,钢铁 > 钢铁 > 钢铁,7
冶钢原料,2,钢铁,冶钢原料,,钢铁 > 冶钢原料,冶钢原料,钢铁 > 冶钢原料 > 冶钢原料,1
冶钢辅料,3,钢铁,冶钢原料,冶钢辅料,钢铁 > 冶钢原料 > 冶钢辅料,冶钢辅料,钢铁 > 冶钢原料 > 冶钢辅料,9
铁矿石,3,钢铁,冶钢原料,铁矿石,钢铁 > 冶钢原料 > 铁矿石,铁矿石,钢铁 > 冶钢原料 > 铁矿石,37
普钢,2,钢铁,普钢,,钢铁 > 普钢,普钢,钢铁 > 普钢 > 普钢,51
板材,3,钢铁,普钢,板材,钢铁 > 普钢 > 板材,板材,钢铁 > 普钢 > 板材,27
钢铁管材,3,钢铁,普钢,钢铁管材,钢铁 > 普钢 > 钢铁管材,钢铁管材,钢铁 > 普钢 > 钢铁管材,73
长材,3,钢铁,普钢,长材,钢铁 > 普钢 > 长材,长材,钢铁 > 普钢 > 长材,9
特钢,2,钢铁,特钢,,钢铁 > 特钢,特钢Ⅲ,钢铁 > 特钢Ⅱ > 特钢Ⅲ,48
银行,1,银行,,,银行,银行,银行 > 银行 > 银行,1
其他银行,2,银行,其他银行,,银行 > 其他银行,其他银行Ⅱ|其他银行Ⅲ,银行 > 其他银行Ⅱ > 其他银行Ⅱ|银行 > 其他银行Ⅱ > 其他银行Ⅲ,260
农商行,2,银行,农商行,,银行 > 农商行,农商行Ⅲ,银行 > 农商行Ⅱ > 农商行Ⅲ,859
国有大型银行,2,银行,国有大型银行,,银行 > 国有大型银行,国有大型银行Ⅲ,银行 > 国有大型银行Ⅱ > 国有大型银行Ⅲ,16
城商行,2,银行,城商行,,银行 > 城商行,城商行Ⅱ|城商行Ⅲ,银行 > 城商行Ⅱ > 城商行Ⅱ|银行 > 城商行Ⅱ > 城商行Ⅲ,143
股份制银行,2,银行,股份制银行,,银行 > 股份制银行,股份制银行Ⅲ,银行 > 股份制银行Ⅱ > 股份制银行Ⅲ,26
保险,2,非银金融,保险,,非银金融 > 保险,保险Ⅲ,非银金融 > 保险Ⅱ > 保险Ⅲ,138
多元金融,2,非银金融,多元金融,,非银金融 > 多元金融,多元金融,非银金融 > 多元金融 > 多元金融,10
信托,3,非银金融,多元金融,信托,非银金融 > 多元金融 > 信托,信托,非银金融 > 多元金融 > 信托,57
其他多元金融,3,非银金融,多元金融,其他多元金融,非银金融 > 多元金融 > 其他多元金融,其他多元金融,非银金融 > 多元金融 > 其他多元金融,599
期货,3,非银金融,多元金融,期货,非银金融 > 多元金融 > 期货,期货,非银金融 > 多元金融 > 期货,38
租赁,3,非银金融,多元金融,租赁,非银金融 > 多元金融 > 租赁,租赁,非银金融 > 多元金融 > 租赁,461
资产管理,3,非银金融,多元金融,资产管理,非银金融 > 多元金融 > 资产管理,资产管理,非银金融 > 多元金融 > 资产管理,372
金融信息服务,3,非银金融,多元金融,金融信息服务,非银金融 > 多元金融 > 金融信息服务,金融信息服务,非银金融 > 多元金融 > 金融信息服务,76
金融控股,3,非银金融,多元金融,金融控股,非银金融 > 多元金融 > 金融控股,金融控股,非银金融 > 多元金融 > 金融控股,67
证券,2,非银金融,证券,,非银金融 > 证券,证券Ⅲ,非银金融 > 证券Ⅱ > 证券Ⅲ,159
食品饮料,1,食品饮料,,,食品饮料,食品饮料,食品饮料 > 食品饮料 > 食品饮料,7
休闲食品,2,食品饮料,休闲食品,,食品饮料 > 休闲食品,休闲食品,食品饮料 > 休闲食品 > 休闲食品,3
烘焙食品,3,食品饮料,休闲食品,烘焙食品,食品饮料 > 休闲食品 > 烘焙食品,烘焙食品,食品饮料 > 休闲食品 > 烘焙食品,18
熟食,3,食品饮料,休闲食品,熟食,食品饮料 > 休闲食品 > 熟食,熟食,食品饮料 > 休闲食品 > 熟食,5
零食,3,食品饮料,休闲食品,零食,食品饮料 > 休闲食品 > 零食,零食,食品饮料 > 休闲食品 > 零食,22
白酒,2,食品饮料,白酒,,食品饮料 > 白酒,白酒Ⅲ,食品饮料 > 白酒Ⅱ > 白酒Ⅲ,53
调味发酵品,2,食品饮料,调味发酵品,,食品饮料 > 调味发酵品,调味发酵品Ⅲ,食品饮料 > 调味发酵品Ⅱ > 调味发酵品Ⅲ,75
其他酒类,3,食品饮料,非白酒,其他酒类,食品饮料 > 非白酒 > 其他酒类,其他酒类,食品饮料 > 非白酒 > 其他酒类,45
啤酒,3,食品饮料,非白酒,啤酒,食品饮料 > 非白酒 > 啤酒,啤酒,食品饮料 > 非白酒 > 啤酒,13
食品加工,2,食品饮料,食品加工,,食品饮料 > 食品加工,食品加工,食品饮料 > 食品加工 > 食品加工,114
保健品,3,食品饮料,食品加工,保健品,食品饮料 > 食品加工 > 保健品,保健品,食品饮料 > 食品加工 > 保健品,32
其他食品,3,食品饮料,食品加工,其他食品,食品饮料 > 食品加工 > 其他食品,其他食品,食品饮料 > 食品加工 > 其他食品,73
肉制品,3,食品饮料,食品加工,肉制品,食品饮料 > 食品加工 > 肉制品,肉制品,食品饮料 > 食品加工 > 肉制品,104
预加工食品,3,食品饮料,食品加工,预加工食品,食品饮料 > 食品加工 > 预加工食品,预加工食品,食品饮料 > 食品加工 > 预加工食品,16
乳品,3,食品饮料,饮料乳品,乳品,食品饮料 > 饮料乳品 > 乳品,乳品,食品饮料 > 饮料乳品 > 乳品,77
软饮料,3,食品饮料,饮料乳品,软饮料,食品饮料 > 饮料乳品 > 软饮料,软饮料,食品饮料 > 饮料乳品 > 软饮料,52
