indunamesw,level,indunamesw1,indunamesw2,indunamesw3,indunamesw_path,raw_leaf_names,raw_paths,occurrence_count
音频媒体,3,传媒,数字媒体,音频媒体,传媒 > 数字媒体 > 音频媒体,音频媒体,传媒 > 数字媒体 > 音频媒体,2
游戏,2,传媒,游戏,,传媒 > 游戏,游戏Ⅲ,传媒 > 游戏Ⅱ > 游戏Ⅲ,88
电视广播,2,传媒,电视广播,,传媒 > 电视广播,电视广播Ⅲ,传媒 > 电视广播Ⅱ > 电视广播Ⅲ,62
社交,2,传媒,社交,,传媒 > 社交,社交Ⅲ,传媒 > 社交Ⅱ > 社交Ⅲ,10
公用事业,1,公用事业,,,公用事业,公用事业,公用事业 > 公用事业 > 公用事业,9
燃气,2,公用事业,燃气,,公用事业 > 燃气,燃气Ⅱ|燃气Ⅲ,公用事业 > 燃气Ⅱ > 燃气Ⅱ|公用事业 > 燃气Ⅱ > 燃气Ⅲ,244
电力,2,公用事业,电力,,公用事业 > 电力,电力,公用事业 > 电力 > 电力,196
光伏发电,3,公用事业,电力,光伏发电,公用事业 > 电力 > 光伏发电,光伏发电,公用事业 > 电力 > 光伏发电,314
其他能源发电,3,公用事业,电力,其他能源发电,公用事业 > 电力 > 其他能源发电,其他能源发电,公用事业 > 电力 > 其他能源发电,120
核力发电,3,公用事业,电力,核力发电,公用事业 > 电力 > 核力发电,核力发电,公用事业 > 电力 > 核力发电,19
水力发电,3,公用事业,电力,水力发电,公用事业 > 电力 > 水力发电,水力发电,公用事业 > 电力 > 水力发电,115
火力发电,3,公用事业,电力,火力发电,公用事业 > 电力 > 火力发电,火力发电,公用事业 > 电力 > 火力发电,184
热力服务,3,公用事业,电力,热力服务,公用事业 > 电力 > 热力服务,热力服务,公用事业 > 电力 > 热力服务,228
电能综合服务,3,公用事业,电力,电能综合服务,公用事业 > 电力 > 电能综合服务,电能综合服务,公用事业 > 电力 > 电能综合服务,109
风力发电,3,公用事业,电力,风力发电,公用事业 > 电力 > 风力发电,风力发电,公用事业 > 电力 > 风力发电,165
农林牧渔,1,农林牧渔,,,农林牧渔,农林牧渔,农林牧渔 > 农林牧渔 > 农林牧渔,9
养殖业,2,农林牧渔,养殖业,,农林牧渔 > 养殖业,养殖业,农林牧渔 > 养殖业 > 养殖业,9
其他养殖,3,农林牧渔,养殖业,其他养殖,农林牧渔 > 养殖业 > 其他养殖,其他养殖,农林牧渔 > 养殖业 > 其他养殖,60
生猪养殖,3,农林牧渔,养殖业,生猪养殖,农林牧渔 > 养殖业 > 生猪养殖,生猪养殖,农林牧渔 > 养殖业 > 生猪养殖,69
肉鸡养殖,3,农林牧渔,养殖业,肉鸡养殖,农林牧渔 > 养殖业 > 肉鸡养殖,肉鸡养殖,农林牧渔 > 养殖业 > 肉鸡养殖,28
农业综合,2,农林牧渔,农业综合,,农林牧渔 > 农业综合,农业综合Ⅲ,农林牧渔 > 农业综合Ⅱ > 农业综合Ⅲ,109
农产品加工,2,农林牧渔,农产品加工,,农林牧渔 > 农产品加工,农产品加工,农林牧渔 > 农产品加工 > 农产品加工,22
其他农产品加工,3,农林牧渔,农产品加工,其他农产品加工,农林牧渔 > 农产品加工 > 其他农产品加工,其他农产品加工,农林牧渔 > 农产品加工 > 其他农产品加工,151
果蔬加工,3,农林牧渔,农产品加工,果蔬加工,农林牧渔 > 农产品加工 > 果蔬加工,果蔬加工,农林牧渔 > 农产品加工 > 果蔬加工,42
粮油加工,3,农林牧渔,农产品加工,粮油加工,农林牧渔 > 农产品加工 > 粮油加工,粮油加工,农林牧渔 > 农产品加工 > 粮油加工,70
动物保健,2,农林牧渔,动物保健,,农林牧渔 > 动物保健,动物保健Ⅲ,农林牧渔 > 动物保健Ⅱ > 动物保健Ⅲ,36
林业,2,农林牧渔,林业,,农林牧渔 > 林业,林业Ⅲ,农林牧渔 > 林业Ⅱ > 林业Ⅲ,83
渔业,2,农林牧渔,渔业,,农林牧渔 > 渔业,渔业,农林牧渔 > 渔业 > 渔业,2
水产养殖,3,农林牧渔,渔业,水产养殖,农林牧渔 > 渔业 > 水产养殖,水产养殖,农林牧渔 > 渔业 > 水产养殖,34
海洋捕捞,3,农林牧渔,渔业,海洋捕捞,农林牧渔 > 渔业 > 海洋捕捞,海洋捕捞,农林牧渔 > 渔业 > 海洋捕捞,10
种植业,2,农林牧渔,种植业,,农林牧渔 > 种植业,种植业,农林牧渔 > 种植业 > 种植业,9
其他种植业,3,农林牧渔,种植业,其他种植业,农林牧渔 > 种植业 > 其他种植业,其他种植业,农林牧渔 > 种植业 > 其他种植业,109
种子,3,农林牧渔,种植业,种子,农林牧渔 > 种植业 > 种子,种子,农林牧渔 > 种植业 > 种子,61
粮食种植,3,农林牧渔,种植业,粮食种植,农林牧渔 > 种植业 > 粮食种植,粮食种植,农林牧渔 > 种植业 > 粮食种植,15
食用菌,3,农林牧渔,种植业,食用菌,农林牧渔 > 种植业 > 食用菌,食用菌,农林牧渔 > 种植业 > 食用菌,11
饲料,2,农林牧渔,饲料,,农林牧渔 > 饲料,饲料,农林牧渔 > 饲料 > 饲料,26
宠物食品,3,农林牧渔,饲料,宠物食品,农林牧渔 > 饲料 > 宠物食品,宠物食品,农林牧渔 > 饲料 > 宠物食品,8
水产饲料,3,农林牧渔,饲料,水产饲料,农林牧渔 > 饲料 > 水产饲料,水产饲料,农林牧渔 > 饲料 > 水产饲料,10
畜禽饲料,3,农林牧渔,饲料,畜禽饲料,农林牧渔 > 饲料 > 畜禽饲料,畜禽饲料,农林牧渔 > 饲料 > 畜禽饲料,78
医药生物,1,医药生物,,,医药生物,医药生物,医药生物 > 医药生物 > 医药生物,43
中药,2,医药生物,中药,,医药生物 > 中药,中药Ⅲ,医药生物 > 中药Ⅱ > 中药Ⅲ,240
化学制药,2,医药生物,化学制药,,医药生物 > 化学制药,化学制药,医药生物 > 化学制药 > 化学制药,104
化学制剂,3,医药生物,化学制药,化学制剂,医药生物 > 化学制药 > 化学制剂,化学制剂,医药生物 > 化学制药 > 化学制剂,347
原料药,3,医药生物,化学制药,原料药,医药生物 > 化学制药 > 原料药,原料药,医药生物 > 化学制药 > 原料药,157
医疗器械,2,医药生物,医疗器械,,医药生物 > 医疗器械,医疗器械,医药生物 > 医疗器械 > 医疗器械,27
体外诊断,3,医药生物,医疗器械,体外诊断,医药生物 > 医疗器械 > 体外诊断,体外诊断,医药生物 > 医疗器械 > 体外诊断,59
医疗耗材,3,医药生物,医疗器械,医疗耗材,医药生物 > 医疗器械 > 医疗耗材,医疗耗材,医药生物 > 医疗器械 > 医疗耗材,107
医疗设备,3,医药生物,医疗器械,医疗设备,医药生物 > 医疗器械 > 医疗设备,医疗设备,医药生物 > 医疗器械 > 医疗设备,453
医疗服务,2,医药生物,医疗服务,,医药生物 > 医疗服务,医疗服务,医药生物 > 医疗服务 > 医疗服务,5
其他医疗服务,3,医药生物,医疗服务,其他医疗服务,医药生物 > 医疗服务 > 其他医疗服务,其他医疗服务,医药生物 > 医疗服务 > 其他医疗服务,138
医疗研发外包,3,医药生物,医疗服务,医疗研发外包,医药生物 > 医疗服务 > 医疗研发外包,医疗研发外包,医药生物 > 医疗服务 > 医疗研发外包,41
医院,3,医药生物,医疗服务,医院,医药生物 > 医疗服务 > 医院,医院,医药生物 > 医疗服务 > 医院,159
诊断服务,3,医药生物,医疗服务,诊断服务,医药生物 > 医疗服务 > 诊断服务,诊断服务,医药生物 > 医疗服务 > 诊断服务,37
医药商业,2,医药生物,医药商业,,医药生物 > 医药商业,医药商业,医药生物 > 医药商业 > 医药商业,23
互联网药店,3,医药生物,医药商业,互联网药店,医药生物 > 医药商业 > 互联网药店,互联网药店,医药生物 > 医药商业 > 互联网药店,10
医药流通,3,医药生物,医药商业,医药流通,医药生物 > 医药商业 > 医药流通,医药流通,医药生物 > 医药商业 > 医药流通,190
线下药店,3,医药生物,医药商业,线下药店,医药生物 > 医药商业 > 线下药店,线下药店,医药生物 > 医药商业 > 线下药店,13
生物制品,2,医药生物,生物制品,,医药生物 > 生物制品,生物制品,医药生物 > 生物制品 > 生物制品,4
其他生物制品,3,医药生物,生物制品,其他生物制品,医药生物 > 生物制品 > 其他生物制品,其他生物制品,医药生物 > 生物制品 > 其他生物制品,317
疫苗,3,医药生物,生物制品,疫苗,医药生物 > 生物制品 > 疫苗,疫苗,医药生物 > 生物制品 > 疫苗,24
血液制品,3,医药生物,生物制品,血液制品,医药生物 > 生物制品 > 血液制品,血液制品,医药生物 > 生物制品 > 血液制品,9
商贸零售,1,商贸零售,,,商贸零售,商贸零售,商贸零售 > 商贸零售 > 商贸零售,15
一般零售,2,商贸零售,一般零售,,商贸零售 > 一般零售,一般零售,商贸零售 > 一般零售 > 一般零售,34
商业物业经营,3,商贸零售,一般零售,商业物业经营,商贸零售 > 一般零售 > 商业物业经营,商业物业经营,商贸零售 > 一般零售 > 商业物业经营,103
多业态零售,3,商贸零售,一般零售,多业态零售,商贸零售 > 一般零售 > 多业态零售,多业态零售,商贸零售 > 一般零售 > 多业态零售,144
百货,3,商贸零售,一般零售,百货,商贸零售 > 一般零售 > 百货,百货,商贸零售 > 一般零售 > 百货,81
超市,3,商贸零售,一般零售,超市,商贸零售 > 一般零售 > 超市,超市,商贸零售 > 一般零售 > 超市,35
专业连锁,2,商贸零售,专业连锁,,商贸零售 > 专业连锁,专业连锁Ⅱ|专业连锁Ⅲ,商贸零售 > 专业连锁Ⅱ > 专业连锁Ⅱ|商贸零售 > 专业连锁Ⅱ > 专业连锁Ⅲ,125
互联网电商,2,商贸零售,互联网电商,,商贸零售 > 互联网电商,互联网电商,商贸零售 > 互联网电商 > 互联网电商,9
电商服务,3,商贸零售,互联网电商,电商服务,商贸零售 > 互联网电商 > 电商服务,电商服务,商贸零售 > 互联网电商 > 电商服务,45
综合电商,3,商贸零售,互联网电商,综合电商,商贸零售 > 互联网电商 > 综合电商,综合电商,商贸零售 > 互联网电商 > 综合电商,16
跨境电商,3,商贸零售,互联网电商,跨境电商,商贸零售 > 互联网电商 > 跨境电商,跨境电商,商贸零售 > 互联网电商 > 跨境电商,10
旅游零售,2,商贸零售,旅游零售,,商贸零售 > 旅游零售,旅游零售Ⅲ,商贸零售 > 旅游零售Ⅱ > 旅游零售Ⅲ,17
贸易,2,商贸零售,贸易,,商贸零售 > 贸易,贸易Ⅲ,商贸零售 > 贸易Ⅱ > 贸易Ⅲ,1003
国防军工,1,国防军工,,,国防军工,国防军工,国防军工 > 国防军工 > 国防军工,2
军工电子,2,国防军工,军工电子,,国防军工 > 军工电子,军工电子Ⅲ,国防军工 > 军工电子Ⅱ > 军工电子Ⅲ,70
地面兵装,2,国防军工,地面兵装,,国防军工 > 地面兵装,地面兵装Ⅲ,国防军工 > 地面兵装Ⅱ > 地面兵装Ⅲ,14
航天装备,2,国防军工,航天装备,,国防军工 > 航天装备,航天装备Ⅲ,国防军工 > 航天装备Ⅱ > 航天装备Ⅲ,33
航海装备,2,国防军工,航海装备,,国防军工 > 航海装备,航海装备Ⅲ,国防军工 > 航海装备Ⅱ > 航海装备Ⅲ,69
航空装备,2,国防军工,航空装备,,国防军工 > 航空装备,航空装备Ⅲ,国防军工 > 航空装备Ⅱ > 航空装备Ⅲ,132
基础化工,1,基础化工,,,基础化工,基础化工,基础化工 > 基础化工 > 基础化工,29
农化制品,2,基础化工,农化制品,,基础化工 > 农化制品,农化制品,基础化工 > 农化制品 > 农化制品,10
农药,3,基础化工,农化制品,农药,基础化工 > 农化制品 > 农药,农药,基础化工 > 农化制品 > 农药,80
复合肥,3,基础化工,农化制品,复合肥,基础化工 > 农化制品 > 复合肥,复合肥,基础化工 > 农化制品 > 复合肥,68
氮肥,3,基础化工,农化制品,氮肥,基础化工 > 农化制品 > 氮肥,氮肥,基础化工 > 农化制品 > 氮肥,11
磷肥及磷化工,3,基础化工,农化制品,磷肥及磷化工,基础化工 > 农化制品 > 磷肥及磷化工,磷肥及磷化工,基础化工 > 农化制品 > 磷肥及磷化工,21
钾肥,3,基础化工,农化制品,钾肥,基础化工 > 农化制品 > 钾肥,钾肥,基础化工 > 农化制品 > 钾肥,8
化学制品,2,基础化工,化学制品,,基础化工 > 化学制品,化学制品,基础化工 > 化学制品 > 化学制品,83
其他化学制品,3,基础化工,化学制品,其他化学制品,基础化工 > 化学制品 > 其他化学制品,其他化学制品,基础化工 > 化学制品 > 其他化学制品,669
有机硅,3,基础化工,化学制品,有机硅,基础化工 > 化学制品 > 有机硅,有机硅,基础化工 > 化学制品 > 有机硅,12
民爆制品,3,基础化工,化学制品,民爆制品,基础化工 > 化学制品 > 民爆制品,民爆制品,基础化工 > 化学制品 > 民爆制品,22
氟化工,3,基础化工,化学制品,氟化工,基础化工 > 化学制品 > 氟化工,氟化工,基础化工 > 化学制品 > 氟化工,18
涂料油墨,3,基础化工,化学制品,涂料油墨,基础化工 > 化学制品 > 涂料油墨,涂料油墨,基础化工 > 化学制品 > 涂料油墨,116
纺织化学制品,3,基础化工,化学制品,纺织化学制品,基础化工 > 化学制品 > 纺织化学制品,纺织化学制品,基础化工 > 化学制品 > 纺织化学制品,23
聚氨酯,3,基础化工,化学制品,聚氨酯,基础化工 > 化学制品 > 聚氨酯,聚氨酯,基础化工 > 化学制品 > 聚氨酯,18
胶黏剂及胶带,3,基础化工,化学制品,胶黏剂及胶带,基础化工 > 化学制品 > 胶黏剂及胶带,胶黏剂及胶带,基础化工 > 化学制品 > 胶黏剂及胶带,5
食品及饲料添加剂,3,基础化工,化学制品,食品及饲料添加剂,基础化工 > 化学制品 > 食品及饲料添加剂,食品及饲料添加剂,基础化工 > 化学制品 > 食品及饲料添加剂,42
化学原料,2,基础化工,化学原料,,基础化工 > 化学原料,化学原料,基础化工 > 化学原料 > 化学原料,25
其他化学原料,3,基础化工,化学原料,其他化学原料,基础化工 > 化学原料 > 其他化学原料,其他化学原料,基础化工 > 化学原料 > 其他化学原料,150
无机盐,3,基础化工,化学原料,无机盐,基础化工 > 化学原料 > 无机盐,无机盐,基础化工 > 化学原料 > 无机盐,34
氯碱,3,基础化工,化学原料,氯碱,基础化工 > 化学原料 > 氯碱,氯碱,基础化工 > 化学原料 > 氯碱,22
煤化工,3,基础化工,化学原料,煤化工,基础化工 > 化学原料 > 煤化工,煤化工,基础化工 > 化学原料 > 煤化工,19
纯碱,3,基础化工,化学原料,纯碱,基础化工 > 化学原料 > 纯碱,纯碱,基础化工 > 化学原料 > 纯碱,10
钛白粉,3,基础化工,化学原料,钛白粉,基础化工 > 化学原料 > 钛白粉,钛白粉,基础化工 > 化学原料 > 钛白粉,10
化学纤维,2,基础化工,化学纤维,,基础化工 > 化学纤维,化学纤维,基础化工 > 化学纤维 > 化学纤维,15
其他化学纤维,3,基础化工,化学纤维,其他化学纤维,基础化工 > 化学纤维 > 其他化学纤维,其他化学纤维,基础化工 > 化学纤维 > 其他化学纤维,50
氨纶,3,基础化工,化学纤维,氨纶,基础化工 > 化学纤维 > 氨纶,氨纶,基础化工 > 化学纤维 > 氨纶,8
涤纶,3,基础化工,化学纤维,涤纶,基础化工 > 化学纤维 > 涤纶,涤纶,基础化工 > 化学纤维 > 涤纶,34
粘胶,3,基础化工,化学纤维,粘胶,基础化工 > 化学纤维 > 粘胶,粘胶,基础化工 > 化学纤维 > 粘胶,12
锦纶,3,基础化工,化学纤维,锦纶,基础化工 > 化学纤维 > 锦纶,锦纶,基础化工 > 化学纤维 > 锦纶,8
塑料,2,基础化工,塑料,,基础化工 > 塑料,塑料,基础化工 > 塑料 > 塑料,30
其他塑料制品,3,基础化工,塑料,其他塑料制品,基础化工 > 塑料 > 其他塑料制品,其他塑料制品,基础化工 > 塑料 > 其他塑料制品,282
合成树脂,3,基础化工,塑料,合成树脂,基础化工 > 塑料 > 合成树脂,合成树脂,基础化工 > 塑料 > 合成树脂,21
改性塑料,3,基础化工,塑料,改性塑料,基础化工 > 塑料 > 改性塑料,改性塑料,基础化工 > 塑料 > 改性塑料,65
膜材料,3,基础化工,塑料,膜材料,基础化工 > 塑料 > 膜材料,膜材料,基础化工 > 塑料 > 膜材料,37
橡胶,2,基础化工,橡胶,,基础化工 > 橡胶,橡胶,基础化工 > 橡胶 > 橡胶,9
其他橡胶制品,3,基础化工,橡胶,其他橡胶制品,基础化工 > 橡胶 > 其他橡胶制品,其他橡胶制品,基础化工 > 橡胶 > 其他橡胶制品,74
橡胶助剂,3,基础化工,橡胶,橡胶助剂,基础化工 > 橡胶 > 橡胶助剂,橡胶助剂,基础化工 > 橡胶 > 橡胶助剂,3
炭黑,3,基础化工,橡胶,炭黑,基础化工 > 橡胶 > 炭黑,炭黑,基础化工 > 橡胶 > 炭黑,9
非金属材料,2,基础化工,非金属材料,,基础化工 > 非金属材料,非金属材料Ⅱ|非金属材料Ⅲ,基础化工 > 非金属材料Ⅱ > 非金属材料Ⅱ|基础化工 > 非金属材料Ⅱ > 非金属材料Ⅲ,232
家用电器,1,家用电器,,,家用电器,家用电器,家用电器 > 家用电器 > 家用电器,18
其他家电,2,家用电器,其他家电,,家用电器 > 其他家电,其他家电Ⅲ,家用电器 > 其他家电Ⅱ > 其他家电Ⅲ,11
卫浴电器,3,家用电器,厨卫电器,卫浴电器,家用电器 > 厨卫电器 > 卫浴电器,卫浴电器,家用电器 > 厨卫电器 > 卫浴电器,5
厨房电器,3,家用电器,厨卫电器,厨房电器,家用电器 > 厨卫电器 > 厨房电器,厨房电器,家用电器 > 厨卫电器 > 厨房电器,13
家电零部件,2,家用电器,家电零部件,,家用电器 > 家电零部件,家电零部件Ⅲ,家用电器 > 家电零部件Ⅱ > 家电零部件Ⅲ,69
小家电,2,家用电器,小家电,,家用电器 > 小家电,小家电,家用电器 > 小家电 > 小家电,46
个护小家电,3,家用电器,小家电,个护小家电,家用电器 > 小家电 > 个护小家电,个护小家电,家用电器 > 小家电 > 个护小家电,8
厨房小家电,3,家用电器,小家电,厨房小家电,家用电器 > 小家电 > 厨房小家电,厨房小家电,家用电器 > 小家电 > 厨房小家电,17
清洁小家电,3,家用电器,小家电,清洁小家电,家用电器 > 小家电 > 清洁小家电,清洁小家电,家用电器 > 小家电 > 清洁小家电,10
照明设备,2,家用电器,照明设备,,家用电器 > 照明设备,照明设备Ⅲ,家用电器 > 照明设备Ⅱ > 照明设备Ⅲ,30
白色家电,2,家用电器,白色家电,,家用电器 > 白色家电,白色家电,家用电器 > 白色家电 > 白色家电,11
冰洗,3,家用电器,白色家电,冰洗,家用电器 > 白色家电 > 冰洗,冰洗,家用电器 > 白色家电 > 冰洗,13
空调,3,家用电器,白色家电,空调,家用电器 > 白色家电 > 空调,空调,家用电器 > 白色家电 > 空调,14
黑色家电,2,家用电器,黑色家电,,家用电器 > 黑色家电,黑色家电,家用电器 > 黑色家电 > 黑色家电,1
其他黑色家电,3,家用电器,黑色家电,其他黑色家电,家用电器 > 黑色家电 > 其他黑色家电,其他黑色家电,家用电器 > 黑色家电 > 其他黑色家电,35
彩电,3,家用电器,黑色家电,彩电,家用电器 > 黑色家电 > 彩电,彩电,家用电器 > 黑色家电 > 彩电,9
建筑材料,1,建筑材料,,,建筑材料,建筑材料,建筑材料 > 建筑材料 > 建筑材料,27
水泥制品,3,建筑材料,水泥,水泥制品,建筑材料 > 水泥 > 水泥制品,水泥制品,建筑材料 > 水泥 > 水泥制品,10
水泥制造,3,建筑材料,水泥,水泥制造,建筑材料 > 水泥 > 水泥制造,水泥制造,建筑材料 > 水泥 > 水泥制造,105
玻璃玻纤,2,建筑材料,玻璃玻纤,,建筑材料 > 玻璃玻纤,玻璃玻纤,建筑材料 > 玻璃玻纤 > 玻璃玻纤,1
玻璃制造,3,建筑材料,玻璃玻纤,玻璃制造,建筑材料 > 玻璃玻纤 > 玻璃制造,玻璃制造,建筑材料 > 玻璃玻纤 > 玻璃制造,91
玻纤制造,3,建筑材料,玻璃玻纤,玻纤制造,建筑材料 > 玻璃玻纤 > 玻纤制造,玻纤制造,建筑材料 > 玻璃玻纤 > 玻纤制造,34
装修建材,2,建筑材料,装修建材,,建筑材料 > 装修建材,装修建材,建筑材料 > 装修建材 > 装修建材,6
其他建材,3,建筑材料,装修建材,其他建材,建筑材料 > 装修建材 > 其他建材,其他建材,建筑材料 > 装修建材 > 其他建材,312
涂料,3,建筑材料,装修建材,涂料,建筑材料 > 装修建材 > 涂料,涂料,建筑材料 > 装修建材 > 涂料,3
管材,3,建筑材料,装修建材,管材,建筑材料 > 装修建材 > 管材,管材,建筑材料 > 装修建材 > 管材,68
耐火材料,3,建筑材料,装修建材,耐火材料,建筑材料 > 装修建材 > 耐火材料,耐火材料,建筑材料 > 装修建材 > 耐火材料,50
防水材料,3,建筑材料,装修建材,防水材料,建筑材料 > 装修建材 > 防水材料,防水材料,建筑材料 > 装修建材 > 防水材料,8
建筑装饰,1,建筑装饰,,,建筑装饰,建筑装饰,建筑装饰 > 建筑装饰 > 建筑装饰,57
专业工程,2,建筑装饰,专业工程,,建筑装饰 > 专业工程,专业工程,建筑装饰 > 专业工程 > 专业工程,37
其他专业工程,3,建筑装饰,专业工程,其他专业工程,建筑装饰 > 专业工程 > 其他专业工程,其他专业工程,建筑装饰 > 专业工程 > 其他专业工程,763
化学工程,3,建筑装饰,专业工程,化学工程,建筑装饰 > 专业工程 > 化学工程,化学工程,建筑装饰 > 专业工程 > 化学工程,19
国际工程,3,建筑装饰,专业工程,国际工程,建筑装饰 > 专业工程 > 国际工程,国际工程,建筑装饰 > 专业工程 > 国际工程,15
钢结构,3,建筑装饰,专业工程,钢结构,建筑装饰 > 专业工程 > 钢结构,钢结构,建筑装饰 > 专业工程 > 钢结构,52
基础建设,2,建筑装饰,基础建设,,建筑装饰 > 基础建设,基础建设,建筑装饰 > 基础建设 > 基础建设,763
园林工程,3,建筑装饰,基础建设,园林工程,建筑装饰 > 基础建设 > 园林工程,园林工程,建筑装饰 > 基础建设 > 园林工程,221
基建市政工程,3,建筑装饰,基础建设,基建市政工程,建筑装饰 > 基础建设 > 基建市政工程,基建市政工程,建筑装饰 > 基础建设 > 基建市政工程,2676
工程咨询服务,2,建筑装饰,工程咨询服务,,建筑装饰 > 工程咨询服务,工程咨询服务Ⅱ|工程咨询服务Ⅲ,建筑装饰 > 工程咨询服务Ⅱ > 工程咨询服务Ⅱ|建筑装饰 > 工程咨询服务Ⅱ > 工程咨询服务Ⅲ,103
房屋建设,2,建筑装饰,房屋建设,,建筑装饰 > 房屋建设,房屋建设Ⅱ|房屋建设Ⅲ,建筑装饰 > 房屋建设Ⅱ > 房屋建设Ⅱ|建筑装饰 > 房屋建设Ⅱ > 房屋建设Ⅲ,398
装修装饰,2,建筑装饰,装修装饰,,建筑装饰 > 装修装饰,装修装饰Ⅱ|装修装饰Ⅲ,建筑装饰 > 装修装饰Ⅱ > 装修装饰Ⅱ|建筑装饰 > 装修装饰Ⅱ > 装修装饰Ⅲ,290
房地产,1,房地产,,,房地产,房地产,房地产 > 房地产 > 房地产,1
房地产开发,2,房地产,房地产开发,,房地产 > 房地产开发,房地产开发,房地产 > 房地产开发 > 房地产开发,182
产业地产,3,房地产,房地产开发,产业地产,房地产 > 房地产开发 > 产业地产,产业地产,房地产 > 房地产开发 > 产业地产,90
住宅开发,3,房地产,房地产开发,住宅开发,房地产 > 房地产开发 > 住宅开发,住宅开发,房地产 > 房地产开发 > 住宅开发,386
商业地产,3,房地产,房地产开发,商业地产,房地产 > 房地产开发 > 商业地产,商业地产,房地产 > 房地产开发 > 商业地产,223
房地产服务,2,房地产,房地产服务,,房地产 > 房地产服务,房地产服务,房地产 > 房地产服务 > 房地产服务,11
房产租赁经纪,3,房地产,房地产服务,房产租赁经纪,房地产 > 房地产服务 > 房产租赁经纪,房产租赁经纪,房地产 > 房地产服务 > 房产租赁经纪,90
房地产综合服务,3,房地产,房地产服务,房地产综合服务,房地产 > 房地产服务 > 房地产综合服务,房地产综合服务,房地产 > 房地产服务 > 房地产综合服务,129
物业管理,3,房地产,房地产服务,物业管理,房地产 > 房地产服务 > 物业管理,物业管理,房地产 > 房地产服务 > 物业管理,221
有色金属,1,有色金属,,,有色金属,有色金属,有色金属 > 有色金属 > 有色金属,19
小金属,2,有色金属,小金属,,有色金属 > 小金属,小金属,有色金属 > 小金属 > 小金属,3
其他小金属,3,有色金属,小金属,其他小金属,有色金属 > 小金属 > 其他小金属,其他小金属,有色金属 > 小金属 > 其他小金属,57
稀土,3,有色金属,小金属,稀土,有色金属 > 小金属 > 稀土,稀土,有色金属 > 小金属 > 稀土,23
钨,3,有色金属,小金属,钨,有色金属 > 小金属 > 钨,钨,有色金属 > 小金属 > 钨,12
钼,3,有色金属,小金属,钼,有色金属 > 小金属 > 钼,钼,有色金属 > 小金属 > 钼,8
工业金属,2,有色金属,工业金属,,有色金属 > 工业金属,工业金属,有色金属 > 工业金属 > 工业金属,38
铅锌,3,有色金属,工业金属,铅锌,有色金属 > 工业金属 > 铅锌,铅锌,有色金属 > 工业金属 > 铅锌,28
铜,3,有色金属,工业金属,铜,有色金属 > 工业金属 > 铜,铜,有色金属 > 工业金属 > 铜,91
铝,3,有色金属,工业金属,铝,有色金属 > 工业金属 > 铝,铝,有色金属 > 工业金属 > 铝,161
钴,3,有色金属,能源金属,钴,有色金属 > 能源金属 > 钴,钴,有色金属 > 能源金属 > 钴,3
锂,3,有色金属,能源金属,锂,有色金属 > 能源金属 > 锂,锂,有色金属 > 能源金属 > 锂,20
镍,3,有色金属,能源金属,镍,有色金属 > 能源金属 > 镍,镍,有色金属 > 能源金属 > 镍,10
贵金属,2,有色金属,贵金属,,有色金属 > 贵金属,贵金属,有色金属 > 贵金属 > 贵金属,1
白银,3,有色金属,贵金属,白银,有色金属 > 贵金属 > 白银,白银,有色金属 > 贵金属 > 白银,1
黄金,3,有色金属,贵金属,黄金,有色金属 > 贵金属 > 黄金,黄金,有色金属 > 贵金属 > 黄金,51
金属新材料,2,有色金属,金属新材料,,有色金属 > 金属新材料,金属新材料,有色金属 > 金属新材料 > 金属新材料,17
其他金属新材料,3,有色金属,金属新材料,其他金属新材料,有色金属 > 金属新材料 > 其他金属新材料,其他金属新材料,有色金属 > 金属新材料 > 其他金属新材料,122
磁性材料,3,有色金属,金属新材料,磁性材料,有色金属 > 金属新材料 > 磁性材料,磁性材料,有色金属 > 金属新材料 > 磁性材料,46
机械设备,1,机械设备,,,机械设备,机械设备,机械设备 > 机械设备 > 机械设备,45
专用设备,2,机械设备,专用设备,,机械设备 > 专用设备,专用设备,机械设备 > 专用设备 > 专用设备,110
其他专用设备,3,机械设备,专用设备,其他专用设备,机械设备 > 专用设备 > 其他专用设备,其他专用设备,机械设备 > 专用设备 > 其他专用设备,807
农用机械,3,机械设备,专用设备,农用机械,机械设备 > 专用设备 > 农用机械,农用机械,机械设备 > 专用设备 > 农用机械,82
印刷包装机械,3,机械设备,专用设备,印刷包装机械,机械设备 > 专用设备 > 印刷包装机械,印刷包装机械,机械设备 > 专用设备 > 印刷包装机械,47
楼宇设备,3,机械设备,专用设备,楼宇设备,机械设备 > 专用设备 > 楼宇设备,楼宇设备,机械设备 > 专用设备 > 楼宇设备,63
纺织服装设备,3,机械设备,专用设备,纺织服装设备,机械设备 > 专用设备 > 纺织服装设备,纺织服装设备,机械设备 > 专用设备 > 纺织服装设备,46
能源及重型设备,3,机械设备,专用设备,能源及重型设备,机械设备 > 专用设备 > 能源及重型设备,能源及重型设备,机械设备 > 专用设备 > 能源及重型设备,262
工程机械,2,机械设备,工程机械,,机械设备 > 工程机械,工程机械,机械设备 > 工程机械 > 工程机械,80
工程机械器件,3,机械设备,工程机械,工程机械器件,机械设备 > 工程机械 > 工程机械器件,工程机械器件,机械设备 > 工程机械 > 工程机械器件,59
